,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
103,District 2,10.791115699999999,106.73672930000001,Trois Gourmands Restaurant,10.806149300959037,106.7406675465306,French Restaurant
104,District 2,10.791115699999999,106.73672930000001,Relish & Sons,10.80408,106.73647,Deli / Bodega
105,District 2,10.791115699999999,106.73672930000001,Mekong Merchant,10.80342346492645,106.73752087143531,Restaurant
106,District 2,10.791115699999999,106.73672930000001,Dolphy Cafe,10.804282439038385,106.7370553372224,Café
107,District 2,10.791115699999999,106.73672930000001,The Deck Saigon,10.807218035278064,106.7445151070221,Restaurant
108,District 2,10.791115699999999,106.73672930000001,Somerset Vista Ho Chi Mihn,10.805777116555344,106.75223362375168,Hotel
109,District 2,10.791115699999999,106.73672930000001,Pendo 2,10.806576510807655,106.7347015640331,Italian Restaurant
110,District 2,10.791115699999999,106.73672930000001,Annam Gourmet,10.80510662303769,106.73636974804556,Deli / Bodega
111,District 2,10.791115699999999,106.73672930000001,Shin Coffee 3,10.806802477852914,106.73457968280319,Café
112,District 2,10.791115699999999,106.73672930000001,Big C Thảo Điền,10.801317892630681,106.73289969733823,Supermarket
113,District 2,10.791115699999999,106.73672930000001,The Snap Cafe,10.805370476181533,106.74087064184432,Café
114,District 2,10.791115699999999,106.73672930000001,MAD House,10.805376295882825,106.74182039402268,Restaurant
115,District 2,10.791115699999999,106.73672930000001,Village Thaodien,10.81648006799851,106.73373770038665,Hotel Bar
116,District 2,10.791115699999999,106.73672930000001,A Cut Above,10.80907,106.731191,Health & Beauty Service
117,District 2,10.791115699999999,106.73672930000001,The Loop,10.806025216423807,106.73533560426016,Café
118,District 2,10.791115699999999,106.73672930000001,Saigon Outcast,10.81694156217556,106.72982897096499,Public Art
119,District 2,10.791115699999999,106.73672930000001,Pizza 4P's,10.78222351254141,106.70497084169759,Pizza Place
120,District 2,10.791115699999999,106.73672930000001,La Plancha,10.80505706948264,106.73991066803943,French Restaurant
121,District 2,10.791115699999999,106.73672930000001,Villa Song,10.815746235629904,106.73399449057091,Resort
122,District 2,10.791115699999999,106.73672930000001,Boat House,10.808929435802792,106.73840250737085,Mediterranean Restaurant
123,District 2,10.791115699999999,106.73672930000001,Le Méridien Saigon,10.779791132179442,106.70752823352814,Hotel
124,District 2,10.791115699999999,106.73672930000001,Voelker Bakery,10.805024121084704,106.73652349169049,Bakery
125,District 2,10.791115699999999,106.73672930000001,Saint Honore,10.804193582587729,106.73941208633362,Bakery
126,District 2,10.791115699999999,106.73672930000001,"Hum Vegetarian, Lounge & Restaurant",10.77668421646214,106.70587252851817,Vegetarian / Vegan Restaurant
127,District 2,10.791115699999999,106.73672930000001,Park Hyatt Saigon,10.777573945426527,106.70360889230898,Hotel
128,District 2,10.791115699999999,106.73672930000001,Miu Miu Spa,10.781714580268417,106.70475353038672,Spa
129,District 2,10.791115699999999,106.73672930000001,Quan Ut Ut,10.803358,106.732393,BBQ Joint
130,District 2,10.791115699999999,106.73672930000001,Heart Of Darkness,10.779781,106.702999,Bar
131,District 2,10.791115699999999,106.73672930000001,Golden Lotus Spa & Massage Club,10.77924134555606,106.70449277395437,Massage Studio
132,District 2,10.791115699999999,106.73672930000001,The Coffee House,10.801533389808522,106.71404017323825,Café
133,District 2,10.791115699999999,106.73672930000001,Quán Bụi,10.78129,106.705926,Asian Restaurant
134,District 2,10.791115699999999,106.73672930000001,The Racha Room,10.775877997635979,106.70534137347434,Thai Restaurant
135,District 2,10.791115699999999,106.73672930000001,Lương Ký mì gia,10.792011867181678,106.70892544295707,Chinese Restaurant
136,District 2,10.791115699999999,106.73672930000001,The Workshop Cafe,10.773551,106.705586,Coffee Shop
137,District 2,10.791115699999999,106.73672930000001,Gartenstadt German Restaurant,10.77446429282367,106.7047635836618,German Restaurant
138,District 2,10.791115699999999,106.73672930000001,Silverland Sakyo Hotel & Spa,10.78156229249803,106.705500224353,Hotel
139,District 2,10.791115699999999,106.73672930000001,Pizza 4P’s Hai Bà Trưng,10.783017468089634,106.69701706127131,Pizza Place
140,District 2,10.791115699999999,106.73672930000001,"L'Usine: Cafe, Bistro & Lifestyle Shop",10.775993909302073,106.7031864987467,Café
141,District 2,10.791115699999999,106.73672930000001,Opera,10.777190486233778,106.70346129785288,Italian Restaurant
142,District 2,10.791115699999999,106.73672930000001,Pizza 4P's,10.77330135301938,106.69759947485072,Pizza Place
143,District 2,10.791115699999999,106.73672930000001,Pasteur Street Brewing Company,10.77522,106.700894,Brewery
144,District 2,10.791115699999999,106.73672930000001,The Reverie Saigon,10.773697363118465,106.70461975102558,Hotel
145,District 2,10.791115699999999,106.73672930000001,Vietnam Coffee Republic - the house,10.779575072202105,106.70459389686584,Coffee Shop
146,District 2,10.791115699999999,106.73672930000001,Carmen Bar,10.78232386869617,106.7049334420917,Cocktail Bar
147,District 2,10.791115699999999,106.73672930000001,Temple Leaf Spa,10.778003690702022,106.7035163796788,Massage Studio
148,District 2,10.791115699999999,106.73672930000001,Bornga - Original Korean Taste -,10.778782,106.701889,Korean Restaurant
149,District 2,10.791115699999999,106.73672930000001,Social Club @ Hotel Des Arts,10.78237248224753,106.69730264745415,Hotel Bar
150,District 2,10.791115699999999,106.73672930000001,InterContinental Saigon,10.7812397,106.7005025,Hotel
151,District 2,10.791115699999999,106.73672930000001,Quan Chi Hoa Vietnamese Cuisine,10.779048,106.703471,Vietnamese Restaurant
152,District 2,10.791115699999999,106.73672930000001,MGallery Hotel des Art,10.782237834212175,106.69743677678166,Hotel
153,District 2,10.791115699999999,106.73672930000001,Cộng Cà Phê,10.777917420558502,106.70126563375021,Café
154,District 2,10.791115699999999,106.73672930000001,B3 - Steakhouse & Craft Beer,10.775190128194758,106.70249153306926,Steakhouse
155,District 2,10.791115699999999,106.73672930000001,The Vintage Emporium,10.790145563752521,106.69920824478388,Café
156,District 2,10.791115699999999,106.73672930000001,Nông trại Khoai,10.790133,106.711869,Vietnamese Restaurant
157,District 2,10.791115699999999,106.73672930000001,Manmaru,10.788212619866897,106.69572902037193,Japanese Restaurant
158,District 2,10.791115699999999,106.73672930000001,LOTTE Legend Hotel,10.778756965925195,106.70648971108234,Hotel
159,District 2,10.791115699999999,106.73672930000001,Propaganda,10.778912622927256,106.69789343017,Vietnamese Restaurant
160,District 2,10.791115699999999,106.73672930000001,Đường Sách Nguyễn Văn Bình,10.78024894539262,106.69940381539705,Bookstore
161,District 2,10.791115699999999,106.73672930000001,Takashimaya,10.773193707180177,106.70107457707464,Department Store
162,District 2,10.791115699999999,106.73672930000001,The Refinery,10.778198732861215,106.70381532718653,French Restaurant
